"cardcode";"cardname";"contact";"telephone";"email";"info_livraison"
"F00307";"AH CHOU";"S. Carpy";;"s.carpy@ahchou.fr";
"F50050";"ATOM";"Commande: Mr Payet";"0692.88.53.48 ";"robert.payet@atom-prop.fr";
"f00327";"BONBON TRADITION";"Mr Techer";"0692.28.62.25";"bonbon.tradition@laposte.net";"Sam"
"F55050";"BOULANGERIE YONG";"Robert Yong";"0692.05.20.00";"commande@boulangerieyong.fr";"J+1"
"F04960";"BRASSERIES DE BOURBON";"Commande : Erika";"0262.93.12.88";"erika.boucher@bdb.re";
"F04960";"BRASSERIES DE BOURBON";"Transporteur TFL";;"amelia.tfl@groupelm.fr";
"F41100";"CASTEL REUNION";"Commande : Mr Sautron";"0692.91.09.74";"jcsautron@castel-freres.re";
"F43000";"CHANE HIVE";"Commande: Mr Joel";"0692.67.85.53";"joel.techer@chane-hive.com";
"F04400";"CHANE OU TEUNG";"SOREBRA: Xavier";"0692.70.50.53";"commercialsud.cot@gmail.com";
"F07800";"CILAM /POINT CHR";"Commande: Grondin Dominique";"0692.65.13.84";"grd.domi@gmail.com";
"F62000";"CILAOS";"COT/CILAOS: Nathalie";"0692.59.22.27";"commercialsud.cot@gmail.com";
"F05450";"CODISMA";;"0262.92.25.45";"secretariat@codisma.com";
"F05450";"CODISMA";;;"secretariat2@codisma.com";
"F00324";"COGEDAL";"Commercial: Mr Hoarau";"0692.64.24.21";"jhoareau@cogedal.somdiaa.com";
"F40600";"COLGATE PALMOLIVE";"Commande: Helyette";"0692.20.40.51";;
"F00336";"CORNETS REUNION SARL";;"0692.60.31.30";;
"F82000";"DIAGEO";"Commande: Jean Pierre";"0692.08.83.12";"Jean-Pierre.Laree@diageo.com";
"F06150";"DISTILLERIE J.CHATEL";"Commande: Mr Harry Valéama";"0692.61.34.57";"harry.valleama@groupechatel.com";
"F44000";"DOULUX";"Commandes";"";"commandes@mgr-doulux.com";
"F44000";"DOULUX";"Commercial";"0692.95.84.78";"commercial@mgr-doulux.com";
"F44000";"DOULUX";"Leila";"0692.95.84.78";"leila.layemar@mgr-doulux.com";
"F44000";"DOULUX";"Sophie Tsang";;"sophie.tsang@mgr-doulux.com";
"F55060";"DX DISTRIBUTION / YAMI";"Secretariat";;"secretariat@dxdistribution.re";
"f10290";"ECOCHIMIE SAS";"Commande: Matthieu";"0692.91.96.00";"sud@ecochimie.fr";
"f10290";"ECOCHIMIE SAS";"Commande: mourouguin";;"s.mourouguin@ecochimie.fr";
"F10100";"EKOPLAST";"standard";"0262.71.92.70";"rcl@ekoplast.fr";
"F10100";"EKOPLAST";"sandrine";"0262.71.92.70";"sandrine@ekoplast.fr";
"F15000";"EXOTIC FABRIC";"Commande: Florent";"0692.70.33.80";"baretflorent8@gmail.com";
"F11250";"FRIAND IMPORT";"Commande: Mr Maillot";"0692.87.65.61";"jack-elian.maillot@sogerep-run.com";
"F41200";"GRAND SUD PRODUCTIONS";"Commande: Hervé";"0692.13.11.26";"commercial.trade.sud@gsp.re";
"F00339";"KING FOOD";;;"king.food@live.fr";"Mar et Ven"
"F10301";"MAK YUEN";;;"contact@mak-yuen.com";"Lun et Jeu"
"F00355";"MARAICHERS DE LA REUNION";"Commande";"0692 95 78 02";"commande@maraichers.re";"Ven"
"F25850";"MASCARIN";"Commande: Mr Turpin";"0692.88.01.46";"j.turpin@mascarin.fr";
"f15100";"MASSALE BOURBON";;"0692.87.82.94";;
"F15110";"MONDE DES SAVEURS";"Mr Borde";;"jackyborde97432@gmail.com";
"F56000";"PHOENIX REUNION";"Commande: Vincent";"0692.70.58.23";"vincent.itema@edenaboissons.re";
"F56000";"PHOENIX REUNION";"Kevin";"0693.00.05.26";"kevin.niobe@edenaboissons.re";
"F24400";"REDISMA";"Commande: Mr Jimmy Rubin";"0692.69.03.10";"jimmy.rubin@redisma.re";
"F24400";"REDISMA";"Commande: Secretariat";"0692.69.03.10";"secretariat.commercial@redisma.re";
"F24400";"REDISMA";"Commande: Mr Laurent Plante";"0692.69.03.10";"laurent.plante-redisma@orange.fr";
"F24400";"REDISMA";"Commande: Mme Amandine Janin";"0692.69.03.10";"amandine.janin@redisma.re";
"F11600";"RHUM REUNION";"Commande: Maggy";"0692.60.40.72";"m.coutat@rhum-charrette.com";
"F13400";"RHUMS & PUNCHS ISAUTIER";"Commande: Yannis";"0692.63.25.60";"yanis.fontaine@groupe-isautier.com";
"F13400";"RHUMS & PUNCHS ISAUTIER";"Accueil";"0692.63.25.60";"accueil.rpi@groupe-isautier.com";
"F13400";"RHUMS & PUNCHS ISAUTIER";"Responsable commercial";"0692.63.25.60";"patrick.pignolet@groupe-isautier.com";
"F28700";"ROYAL BOURBON INDUSTRIES";"Commande: Mr Grondin";"0692.86.12.54";"mgrondin@wanadoo.fr";
